,Ne,N_generations,Mu,Rho,dsel,tractlen,sellen,RbyU,logRbyU,theta,S,c,dmin,dmax,seff,leff,scor
rspecies23,5000,20000,2.936e-06,1.559e-06,-0.000633,1509,63,0.530994550408719,-0.63300352067663,0.02936,6.33,0.0155613580486176,0.00588,0.02159,1.88,45,0.215033462700393
rspecies24,5000,20000,5.139e-06,3.293e-06,-0.000882,884,44,0.640786145164429,-0.445059504615865,0.05139,8.82,0.0240633629788437,0.00334,0.03641,3.45,29,0.193559015824112
rspecies25,5000,20000,3.296e-06,1.693e-06,-0.001071,1563,53,0.513652912621359,-0.666207508896227,0.03296,10.71,0.017893664467233,0.00136,0.02381,4.13,39,0.216749206929016
rspecies26,5000,20000,2.564e-06,4.53e-06,-0.001199,862,54,1.76677067082683,0.569153400436519,0.02564,11.99,0.0220412131330176,-0.0015,0.02106,6.64,31,0.222584296705597
rspecies27,5000,20000,2.48e-06,2.558e-06,-0.000608,1446,36,1.03145161290323,0.0309671429797602,0.0248,6.08,0.0328423440585833,0.00461,0.0212,2.2,21,0.124136687188977
rspecies28,5000,20000,2.54e-06,2.522e-06,-0.000669,1526,51,0.992913385826772,-0.00711184348771725,0.0254,6.69,0.0205652312956486,0.00217,0.02142,3.3,34,0.219214373863961
rspecies29,5000,20000,1.69e-06,1.625e-06,-0.000642,1699,34,0.961538461538462,-0.0392207131532813,0.0169,6.42,0.0279932868064515,0.00241,0.01467,2.6,25,0.146900574866266
rspecies30,5000,20000,9.298e-06,5.687e-06,-0.001224,1329,31,0.611636911163691,-0.49161645494373,0.09298,12.24,0.0339851988059216,-0.00021,0.06383,6.64,20,0.230654390121741
rspecies31,5000,20000,7.706e-06,4.396e-06,-0.000693,1350,59,0.570464573059953,-0.561304209662591,0.07706,6.93,0.0153235577737867,0.01024,0.05472,2.42,45,0.303869502403316
rspecies32,5000,20000,5.805e-06,9.733e-06,-0.000832,1082,74,1.67665805340224,0.516802558294502,0.05805,8.32,0.0141354596348573,0.00244,0.04634,4.25,49,0.360356006747744
rspecies33,5000,20000,1.268e-06,2.5e-06,-0.000827,1150,59,1.97160883280757,0.678849875859121,0.01268,8.27,0.0194961463253431,0.00082,0.01123,3.77,36,0.175283565396171
rspecies34,5000,20000,2.377e-06,2.361e-06,-0.000692,1007,71,0.993268826251578,-0.00675393027468098,0.02377,6.92,0.0156464724882638,0.00319,0.01831,2.52,44,0.224574860023663
rspecies35,5000,20000,1.288e-06,1.417e-06,-6e-04,1781,75,1.10015527950311,0.0954513330263815,0.01288,6,0.0160907056791525,0.00187,0.0107,2.52,43,0.228029638070267
rspecies36,5000,20000,6.501e-06,1.764e-05,-0.000821,1365,60,2.71342870327642,0.998213039356313,0.06501,8.21,0.0190605117253575,0.00075,0.05091,6.09,36,0.339469017656813
rspecies37,5000,20000,1.774e-06,1.404e-05,-0.001324,1061,58,7.91431792559188,2.06867351471028,0.01774,13.24,0.0186226070540417,-0.00099,0.01602,6.64,37,0.224228551733228
rspecies38,5000,20000,2.659e-06,5.57e-07,-0.000999,1206,48,0.20947724708537,-1.56314015131574,0.02659,9.99,NA,NA,NA,NA,NA,0.152312905330562
rspecies39,5000,20000,5.817e-07,5.434e-07,-0.000528,1687,62,0.934158500945505,-0.0681091539244684,0.005817,5.28,NA,NA,NA,NA,NA,0.15725670749019
rspecies40,5000,20000,3.121e-06,8.764e-06,-0.001382,1509,42,2.80807433514899,1.03249895844458,0.03121,13.82,0.0287562713460684,-0.00182,0.02686,6.64,24,0.212700439386686
